station;lib;eu_cd;num_prel;dateprel;profondeur;zone;libzone;codeparam;libparam;codesupport;libsupport;codefraction;libfraction;resultat;unite;libunite;remarque;code_reseau;nom_reseau;code_preleveur;nom_preleveur;code_laboratoire;nom_laboratoire
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1327;Hydrogénocarbonates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);146.0;274;milligramme d'hydrogénocarbonate par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1328;Carbonates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);7.6;167;milligramme de carbonate par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1335;Ammonium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.03;169;milligramme d'ammonium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1335;Ammonium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.03;169;milligramme d'ammonium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1335;Ammonium;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.04;169;milligramme d'ammonium par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1338;Sulfates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);17.0;162;milligramme par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1339;Nitrites;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.01;171;milligramme de nitrite par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707311;19-02-2024;12.0;6;Prélèvement ponctuel;1339;Nitrites;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.02;171;milligramme de nitrite par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707207;19-02-2024;21.0;5;Prélèvement de fond;1339;Nitrites;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);0.02;171;milligramme de nitrite par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
O2215003;Retenue de l'Estrade;FRFL37;1707177;19-02-2024;2.87;1;Zone euphotique;1340;Nitrates;3;Eau;003;Phase aqueuse de l'eau (filtrée, centrifugée...);2.6;173;milligramme de nitrate par litre;1;0500000076;Réseau contrôle de surveillance plans d'eau;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET;22310001700225;LABO. DEPT. D'EAU DE HTE GARONNE LAUNAGUET
